line,category,post_id,text
1,section_title,,SBR理想の果てに ～紅蓮痰と１２人の円卓の騎士達～
2,blank,,
3,blank,,
4,blank,,
5,post_header,raw-L00005,629 ：勇者ロト：2001/08/06(月) 16:29
6,body,raw-L00005,俺はちゃんとした体だが
7,blank,,
8,blank,,
9,post_header,raw-L00009,631 ：勇者ロト：2001/08/06(月) 16:31
10,body,raw-L00009,精神も一応体の一部だぞ
11,blank,,
12,blank,,
13,blank,,
14,blank,,
15,blank,,
16,blank,,
17,blank,,
18,section_title,,SB理想の果てに～こなゆき14連敗～
19,blank,,
20,blank,,
21,blank,,
22,blank,,
23,blank,,
24,blank,,
25,post_header,raw-L00025,662 ：ロト ◆ROTOWt.c ：02/03/24 18:49 ID:2d0Qbwss
26,body,raw-L00025,くだらんな
27,blank,,
28,post_header,raw-L00028,663 ：ロト ◆ROTOWt.c ：02/03/24 18:52 ID:2d0Qbwss
29,body,raw-L00028,ってか、ケントスは兵庫県に住んでる
30,body,raw-L00028,俺は北海道にいるんだけど
31,body,raw-L00028,どうやって、同一人物だよ。
32,blank,,
33,blank,,
34,blank,,
35,blank,,
36,blank,,
37,section_title,,SBR理想の果てにロト15回目の失敗！
38,blank,,
39,blank,,
40,blank,,
41,blank,,
42,post_header,raw-L00042,488 ：ロト ◆ROTOWt.c：02/05/20 19:46 ID:4V374OzU
43,body,raw-L00042,お前等糞だな。
44,body,raw-L00042,四貫って雑魚と対等に扱われたくないね。
45,body,raw-L00042,言っておくけど、強い弱いとかに興味ねぇから
46,blank,,
47,post_header,raw-L00047,491 ：ロト ◆ROTOWt.c：02/05/20 20:00 ID:4V374OzU
48,body,raw-L00047,すれば？
49,body,raw-L00047,叩く事しか悩ねぇ野郎にはそれしかねぇだろうしな。
50,blank,,
51,post_header,raw-L00051,493 ：ロト ◆ROTOWt.c：02/05/20 20:03 ID:4V374OzU
52,body,raw-L00051,雑魚扱いは嫌だな。
53,body,raw-L00051,一応、これでも狩ってるんだ。
54,body,raw-L00051,お前らごときにゃ、負けねぇよ
55,blank,,
56,blank,,
57,blank,,
58,blank,,
59,blank,,
60,blank,,
61,section_title,,【+ 激しく】スパロボインパクト140【飛影 +】
62,blank,,
63,post_header,raw-L00063,862 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:36
64,body,raw-L00063,ガンダム系はアムロだけ使ってればいいべ？
65,body,raw-L00063,アムロ最強
66,blank,,
67,post_header,raw-L00067,880 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:40
68,body,raw-L00067,つーかガンダムだけ使ってればいいべ？
69,body,raw-L00067,他のロボットは追放
70,blank,,
71,post_header,raw-L00071,903 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:46
72,body,raw-L00071,エっ糞よりもゼータツーの方が百倍強いべ？
73,blank,,
74,post_header,raw-L00074,914 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:48
75,anchor,raw-L00074,>>911
76,body,raw-L00074,ハァ？ゼータツー最強だぞ？
77,blank,,
78,post_header,raw-L00078,929 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:50
79,body,raw-L00078,“最強”の“ＭＳ”は“ゼータツー”に“決まって”るべ？
80,blank,,
81,post_header,raw-L00081,935 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:51
82,body,raw-L00081,フルアーマー百式改は宇宙一だべ？
83,blank,,
84,post_header,raw-L00084,975 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 15:57
85,body,raw-L00084,ニューガンダムよりゼータツーの方が１０００倍強いべ？
86,blank,,
87,blank,, 
88,blank,,
89,blank,,
90,section_title,,【まるこ姉】スパロボIMPACＴ141【最狂説】
91,blank,,
92,blank,, 
93,blank,,
94,blank,,
95,post_header,raw-L00095,44 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:08
96,body,raw-L00095,ゼータツーが一番強くてカッコイイべ？
97,blank,,
98,post_header,raw-L00098,54 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:09
99,anchor,raw-L00098,>>50
100,body,raw-L00098,最近はそう呼ぶのが流行ってるんだべ？
101,blank,,
102,post_header,raw-L00102,86 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:17
103,body,raw-L00102,おめぇらよぉ、“くだらない”話してないで“最強”を“語る”べ？
104,blank,,
105,post_header,raw-L00105,105 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:20
106,body,raw-L00105,どう考えてもアムロが最強だべ？
107,blank,,
108,post_header,raw-L00108,114 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:22
109,body,raw-L00108,最強は
110,body,raw-L00108,アムロ＋ゼータツー
111,body,raw-L00108,文句ないべ？
112,blank,,
113,post_header,raw-L00113,149 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:29
114,body,raw-L00113,グレンダイザーは弱いべ？
115,body,raw-L00113,ダブルハケーンとかいう武器は攻撃力が低い
116,blank,,
117,post_header,raw-L00117,162 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:33
118,anchor,raw-L00117,>>155
119,body,raw-L00117,田舎じゃねーっよ
120,body,raw-L00117,俺が住んでるところは北海道だぞ
121,blank,,
122,post_header,raw-L00122,175 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:35
123,body,raw-L00122,北海道は都会だぞ
124,body,raw-L00122,おまえら頭悪ぃな
125,blank,,
126,post_header,raw-L00126,185 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:37
127,body,raw-L00126,北海道は広いがすべてがすべて田舎じゃないぞ。札幌は名古屋より都会だぞ
128,body,raw-L00126,それともむしろ名古屋が田舎？
129,blank,,
130,post_header,raw-L00130,197 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:39
131,body,raw-L00130,北海道なめると痛い目見るべ？
132,body,raw-L00130,俺は不良だからな
133,blank,,
134,post_header,raw-L00134,208 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:40
135,body,raw-L00134,地元じゃ伝説の不良って言われてる
136,blank,,
137,post_header,raw-L00137,222 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:42
138,anchor,raw-L00137,>>216
139,body,raw-L00137,今でも使うべ？
140,blank,,
141,post_header,raw-L00141,226 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:42
142,body,raw-L00141,俺はタバコも吸うしよ、宿題もやらない
143,body,raw-L00141,手の付けられない不良
144,blank,,
145,post_header,raw-L00145,246 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:45
146,body,raw-L00145,おまえら不良をなめてるべ？
147,body,raw-L00145,俺は地元最強の極悪校に５人で殴り込みかけたこともある
148,blank,,
149,post_header,raw-L00149,250 名前：名無しさん＠非公式ガイド[] 投稿日：02/05/12(日) 16:46
150,body,raw-L00149,伝説のロトって呼ばれてる
151,body,raw-L00149,北海道じゃ有名な不良だべ？
152,blank,,
153,post_header,raw-L00153,272 名前：ロト[] 投稿日：02/05/12(日) 16:48
154,body,raw-L00153,しょうがねえから名前を名乗るべ？
155,body,raw-L00153,北海道なめんなよ
156,blank,,
157,post_header,raw-L00157,283 名前：ロト[] 投稿日：02/05/12(日) 16:49
158,body,raw-L00157,地元じゃ伝説の不良と呼ばれて恐れられてる
159,blank,,
160,post_header,raw-L00160,298 名前：ロト[] 投稿日：02/05/12(日) 16:51
161,body,raw-L00160,この間もタイマンやったしよ
162,body,raw-L00160,おまえらやったことあるか？
163,body,raw-L00160,５０対１はきつかったべ
164,blank,,
165,post_header,raw-L00165,313 名前：ロト[] 投稿日：02/05/12(日) 16:53
166,anchor,raw-L00165,>>305
167,body,raw-L00165,よくわかったべな？
168,body,raw-L00165,おまえ賢いな
169,blank,,
170,post_header,raw-L00170,318 名前：ロト[] 投稿日：02/05/12(日) 16:53
171,body,raw-L00170,おまえらタイマンの意味しらねーのかよ
172,body,raw-L00170,真剣な喧嘩の事をタイマンって言うべ？
173,blank,,
174,post_header,raw-L00174,344 名前：ロト[] 投稿日：02/05/12(日) 16:56
175,body,raw-L00174,おまえら俺をなめてるべ？
176,body,raw-L00174,俺はパンチ力すげーぞ？
177,blank,,
178,post_header,raw-L00178,349 名前：ロト[] 投稿日：02/05/12(日) 16:57
179,body,raw-L00178,俺のパンチは必殺技でギガトンパンチって名づけてる
180,blank,,
181,post_header,raw-L00181,356 名前：ロト[] 投稿日：02/05/12(日) 16:58
182,anchor,raw-L00181,>>352
183,body,raw-L00181,俺以外はハッタリだべ？
184,blank,,
185,post_header,raw-L00185,375 名前：ロト[] 投稿日：02/05/12(日) 17:00
186,body,raw-L00185,伝説のロトは俺一人に決まってるべ？
187,body,raw-L00185,頭悪ぃな
188,blank,,
189,post_header,raw-L00189,390 名前：ロト[] 投稿日：02/05/12(日) 17:01
190,anchor,raw-L00189,>>382
191,body,raw-L00189,俺は高二だ
192,blank,,
193,post_header,raw-L00193,410 名前：ロト[] 投稿日：02/05/12(日) 17:04
194,body,raw-L00193,俺以外は全員ハッタリだべ？
195,body,raw-L00193,バレバレなんだよ
196,body,raw-L00193,頭悪ぃやつらだな
197,body,raw-L00193,おまえらここに来れば弟子にしてやるぞ
198,body,raw-L00193,http://appare.gaiax.com/home/unipersonal
199,blank,,
200,post_header,raw-L00200,416 名前：ロト[] 投稿日：02/05/12(日) 17:05
201,body,raw-L00200,俺は実はダークっていう喧嘩グループの頭だ
202,blank,,
203,post_header,raw-L00203,419 名前：ロト[] 投稿日：02/05/12(日) 17:05
204,body,raw-L00203,俺の正体を知ってびびったか
205,blank,,
206,post_header,raw-L00206,435 名前：ロト[] 投稿日：02/05/12(日) 17:07
207,body,raw-L00206,いい加減ウザイよ
208,body,raw-L00206,おまえら本当は弱いべ？
209,body,raw-L00206,ここへ来て謝れば許す
210,body,raw-L00206,http://appare.gaiax.com/home/unipersonal
211,blank,,
212,post_header,raw-L00212,451 名前：ロト[] 投稿日：02/05/12(日) 17:09
213,body,raw-L00212,殺すぞ馬鹿
214,blank,,
215,post_header,raw-L00215,478 名前：ロト[] 投稿日：02/05/12(日) 17:12
216,anchor,raw-L00215,>>455
217,body,raw-L00215,びびって逃げる気か
218,body,raw-L00215,だせえやつだな
219,blank,,
220,post_header,raw-L00220,496 名前：ロト[] 投稿日：02/05/12(日) 17:15
221,anchor,raw-L00220,>>485
222,body,raw-L00220,じゃあおまえはもっとカッコイイ名前なのかよ
223,body,raw-L00220,調子こいてると殺すべ？
224,blank,,
225,post_header,raw-L00225,505 名前：ロト[] 投稿日：02/05/12(日) 17:16
226,body,raw-L00225,ロトって本当は結構強いんじゃないか？
227,blank,,
228,post_header,raw-L00228,514 名前：ロト[] 投稿日：02/05/12(日) 17:16
229,anchor,raw-L00228,>>505
230,body,raw-L00228,そうだな
231,blank,,
232,post_header,raw-L00232,518 名前：ロト[] 投稿日：02/05/12(日) 17:17
233,anchor,raw-L00232,>>505
234,body,raw-L00232,誰かが偽者やりやがったな
235,blank,,
236,post_header,raw-L00236,521 名前：ロト[] 投稿日：02/05/12(日) 17:18
237,body,raw-L00236,505は偽だべ？
238,blank,,
239,post_header,raw-L00239,522 名前：ロト[] 投稿日：02/05/12(日) 17:18
240,anchor,raw-L00239,>>518
241,body,raw-L00239,まぁ気にするなよ
242,blank,,
243,post_header,raw-L00243,526 名前：ロト[] 投稿日：02/05/12(日) 17:18
244,body,raw-L00243,521は偽だべ？
245,blank,,
246,post_header,raw-L00246,527 名前：ロト[] 投稿日：02/05/12(日) 17:18
247,anchor,raw-L00246,>>505
248,body,raw-L00246,誰かがロトを騙ってるべ
249,blank,,
250,post_header,raw-L00250,530 名前：ロト[] 投稿日：02/05/12(日) 17:18
251,body,raw-L00250,てめえら、偽者やめろ
252,body,raw-L00250,殺すぞ
253,blank,,
254,post_header,raw-L00254,555 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:21
255,body,raw-L00254,これで偽者は出ないべ？
256,body,raw-L00254,おまえらとは頭の出来が違うべ？
257,blank,,
258,post_header,raw-L00258,584 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:24
259,body,raw-L00258,おまえら適当ばっか言ってるよな
260,blank,,
261,post_header,raw-L00261,589 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:24
262,body,raw-L00261,俺がどうやって偽者だって証拠あんのかよ？
263,body,raw-L00261,調子こくな
264,blank,,
265,post_header,raw-L00265,596 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:25
266,body,raw-L00265,ちっげーっよ
267,body,raw-L00265,俺が本物だっつってんだろ
268,body,raw-L00265,殺す
269,blank,,
270,post_header,raw-L00270,612 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:27
271,body,raw-L00270,おまえらいい気になるなよ
272,blank,,
273,post_header,raw-L00273,623 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:28
274,anchor,raw-L00273,>>613
275,body,raw-L00273,言っておくけど荒らしたら殺すからな
276,blank,,
277,post_header,raw-L00277,629 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:29
278,body,raw-L00277,タバコでも買ってくるかな
279,blank,,
280,post_header,raw-L00280,634 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:29
281,body,raw-L00280,俺は不良だからバイク乗る時ヘルメットかぶらないべ
282,blank,,
283,post_header,raw-L00283,640 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:30
284,anchor,raw-L00283,>>633
285,body,raw-L00283,ギガトンパンチに決まってるだろ
286,body,raw-L00283,頭悪ぃな
287,blank,,
288,post_header,raw-L00288,645 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:31
289,anchor,raw-L00288,>>641
290,body,raw-L00288,俺は危ない奴だからよ
291,blank,,
292,post_header,raw-L00292,653 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:32
293,anchor,raw-L00292,>>648
294,body,raw-L00292,馬鹿はおまえだろ
295,blank,,
296,post_header,raw-L00296,661 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:33
297,anchor,raw-L00296,>>657
298,body,raw-L00296,びびったか
299,blank,,
300,post_header,raw-L00300,673 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:35
301,anchor,raw-L00300,>>667
302,body,raw-L00300,つかまらねーよ馬鹿
303,body,raw-L00300,俺は警察も怖くない
304,blank,,
305,post_header,raw-L00305,678 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:35
306,quoted_line,raw-L00305,>>665だった馬鹿は
307,blank,,
308,post_header,raw-L00308,683 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:36
309,body,raw-L00308,俺は警察より強いからな
310,blank,,
311,post_header,raw-L00311,697 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:37
312,anchor,raw-L00311,>>689
313,body,raw-L00311,おまえより強いよ馬鹿
314,blank,,
315,post_header,raw-L00315,712 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:39
316,body,raw-L00315,ドラクエの話ばっかしてんじゃねーよ
317,body,raw-L00315,オタクかおまえらは
318,blank,,
319,post_header,raw-L00319,725 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:41
320,anchor,raw-L00319,>>719
321,body,raw-L00319,おまえは弱いから無理だべ？
322,blank,,
323,post_header,raw-L00323,748 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:44
324,anchor,raw-L00323,>>743
325,body,raw-L00323,だせえなおまえ
326,body,raw-L00323,俺は１００万以上あるぞ
327,blank,,
328,post_header,raw-L00328,756 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:45
329,body,raw-L00328,おまえらっていつもハッタリばっかりだよな
330,body,raw-L00328,不良の世界には生きられないべ？
331,blank,,
332,post_header,raw-L00332,762 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:46
333,anchor,raw-L00332,>>757
334,body,raw-L00332,本当は殺されるのが怖くなっただけだろ
335,body,raw-L00332,馬鹿
336,blank,,
337,post_header,raw-L00337,772 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:47
338,body,raw-L00337,俺は武器は使っても強いべ
339,body,raw-L00337,スーパーソード持ってるしよ
340,blank,,
341,post_header,raw-L00341,783 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:48
342,body,raw-L00341,ギガスラッシュって技に名前を付けた
343,body,raw-L00341,属性は雷だべ？
344,blank,,
345,post_header,raw-L00345,788 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:49
346,body,raw-L00345,ギガトンパンチも雷
347,blank,,
348,post_header,raw-L00348,806 名前：ロト ◆ROTOWt.c[] 投稿日：02/05/12(日) 17:51
349,body,raw-L00348,ドラクエの話かないのかよおまえらは
350,body,raw-L00348,オタクで引き篭もりだべ？
