id,line,year,section,cluster,pc1,pc2,log_chars,log_lines,log_mean_line,log_max_line,periods_100,commas_100,question_100,exclaim_100,newline_100,no_stop_line_ratio,no_jp_punct_line_ratio,terminal_period_ratio,quote_100,parenthesis_100,ellipsis_100,repeat_symbol_100,comma_ascii_100,space_100,hiragana_ratio,kanji_ratio,katakana_ratio,half_kana_ratio,latin_ratio,digit_ratio,polite_100,first_person_100,second_person_100,connective_100,quotative_100,hedge_100,nda_ga_100,karana_100,be_100
raw-L00005,6,2001,SBR理想の果てに ～紅蓮痰と１２人の円卓の騎士達～,2,-2.3168858883641335,-0.08174800815985771,2.4849066497880004,0.6931471805599453,2.4849066497880004,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818181,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0
raw-L00009,10,2001,SBR理想の果てに ～紅蓮痰と１２人の円卓の騎士達～,2,-1.974557881803188,0.12028142573683509,2.4849066497880004,0.6931471805599453,2.4849066497880004,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00025,26,2002,SB理想の果てに～こなゆき14連敗～,2,-3.655240378491194,-0.29392964937914706,1.791759469228055,0.6931471805599453,1.791759469228055,1.791759469228055,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00028,29,2002,SB理想の果てに～こなゆき14連敗～,3,2.725493969992428,-4.150413000887067,3.7612001156935624,1.3862943611198906,2.70805020110221,2.8903717578961645,2.380952380952381,4.761904761904762,0.0,0.0,4.761904761904762,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190476,0.28571428571428575,0.09523809523809523,0.0,0.0,0.0,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00042,43,2002,SBR理想の果てにロト15回目の失敗！,3,4.017131344993006,-6.138570036541654,3.871201010907891,1.3862943611198906,2.8134107167600364,3.091042453358316,4.25531914893617,2.127659574468085,0.0,0.0,4.25531914893617,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6170212765957447,0.3191489361702128,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00047,48,2002,SBR理想の果てにロト15回目の失敗！,3,1.970695596826756,-6.178905169249867,3.367295829986474,1.0986122886681098,2.70805020110221,3.2188758248682006,3.5714285714285716,0.0,3.5714285714285716,0.0,3.5714285714285716,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00051,52,2002,SBR理想の果てにロト15回目の失敗！,3,3.7904970373736213,-6.53495617755555,3.6375861597263857,1.3862943611198906,2.5902671654458267,2.70805020110221,5.405405405405405,5.405405405405405,0.0,0.0,5.405405405405405,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.24324324324324323,0.0,0.0,0.0,0.0,0.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,0.0
raw-L00063,64,2002,【+ 激しく】スパロボインパクト140【飛影 +】,0,-1.8557147325215912,-2.277977283769565,3.258096538021482,1.0986122886681098,2.6026896854443837,3.044522437723423,0.0,0.0,4.0,0.0,4.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.16,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
raw-L00067,68,2002,【+ 激しく】スパロボインパクト140【飛影 +】,0,-1.8109991334284536,-2.10480026705012,3.332204510175204,1.0986122886681098,2.6741486494265287,2.9444389791664403,0.0,0.0,3.7037037037037037,0.0,3.7037037037037037,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.14814814814814814,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037037
raw-L00071,72,2002,【+ 激しく】スパロボインパクト140【飛影 +】,0,-1.8030189167330057,-3.9780816131301067,3.044522437723423,0.6931471805599453,3.044522437723423,3.044522437723423,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
