id,input_index,text,kind,cluster,pc1,pc2,log_chars,log_lines,log_mean_line,log_max_line,periods_100,commas_100,question_100,exclaim_100,newline_100,no_stop_line_ratio,no_jp_punct_line_ratio,terminal_period_ratio,quote_100,parenthesis_100,ellipsis_100,repeat_symbol_100,comma_ascii_100,space_100,hiragana_ratio,kanji_ratio,katakana_ratio,half_kana_ratio,latin_ratio,digit_ratio,polite_100,first_person_100,second_person_100,connective_100,quotative_100,hedge_100,nda_ga_100,karana_100,be_100
input-01,0,私は最強だ。,input,3,0.9390518794611235,-7.441152065354686,1.9459101490553132,0.6931471805599453,1.9459101490553132,1.9459101490553132,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-02,1,すでに時間切れだった。,input,3,2.1164411992908407,-7.180401126592051,2.4849066497880004,0.6931471805599453,2.4849066497880004,2.4849066497880004,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-03,2,敵を瞬殺した。,input,3,1.524619861498747,-7.212980212680795,2.0794415416798357,0.6931471805599453,2.0794415416798357,2.0794415416798357,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-04,3,私は動かないです。,input,3,1.5172161498749246,-7.395513476471659,2.302585092994046,0.6931471805599453,2.302585092994046,2.302585092994046,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.2222222222222222,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-05,4,存在感が桁外れだ。,input,3,2.008468556998972,-7.106358360903609,2.302585092994046,0.6931471805599453,2.302585092994046,2.302585092994046,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-06,5,今日は寒い。,input,3,1.348564510110484,-7.216045956202325,1.9459101490553132,0.6931471805599453,1.9459101490553132,1.9459101490553132,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-07,6,今日は寒いです。,input,3,1.8603072510550325,-7.124919024103769,2.1972245773362196,0.6931471805599453,2.1972245773362196,2.1972245773362196,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-08,7,田中が佐藤を助けた。,input,3,2.1389328850520273,-7.093430460662137,2.3978952727983707,0.6931471805599453,2.3978952727983707,2.3978952727983707,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-09,8,田中がAを復旧した。Bは停止中で、私は明日確認する。,input,3,4.697502321837549,-7.805638356394881,3.295836866004329,0.6931471805599453,3.295836866004329,3.295836866004329,7.6923076923076925,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,0.4615384615384615,0.0,0.0,0.07692307692307693,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-10,9,私は処理の速度をアピールしました。,input,3,2.8330683772508514,-7.30715156522535,2.8903717578961645,0.6931471805599453,2.8903717578961645,2.8903717578961645,5.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411764705882353,0.29411764705882354,0.17647058823529413,0.0,0.0,0.0,5.882352941176471,5.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-11,10,全員に助言したが、雰囲気は悪かった。,input,3,4.078645296980797,-7.866523126498287,2.9444389791664403,0.6931471805599453,2.9444389791664403,2.9444389791664403,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-12,11,私は怒りが頂点に達した。,input,3,1.9673512052986806,-7.31209136023014,2.5649493574615367,0.6931471805599453,2.5649493574615367,2.5649493574615367,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-13,12,私はとても悲しかった。,input,3,1.636346841794303,-7.449286438434163,2.4849066497880004,0.6931471805599453,2.4849066497880004,2.4849066497880004,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
input-14,13,資料は貴重です。,input,3,1.9573571254699016,-7.064722620405363,2.1972245773362196,0.6931471805599453,2.1972245773362196,2.1972245773362196,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
